"","ADM4_EN","ADM2_EN","ADM3_EN","X","ID","WEEK","CASE","DATE","geo"
"128","Bener","Kota Yogyakarta","Tegalrejo",1745,34,27,0,"2015-07-06","Kota Yogyakarta-Tegalrejo-Bener"
"129","Bener","Kota Yogyakarta","Tegalrejo",1746,34,34,0,"2015-08-24","Kota Yogyakarta-Tegalrejo-Bener"
"130","Bener","Kota Yogyakarta","Tegalrejo",1747,34,48,0,"2015-11-30","Kota Yogyakarta-Tegalrejo-Bener"
"131","Bener","Kota Yogyakarta","Tegalrejo",1748,34,51,0,"2015-12-21","Kota Yogyakarta-Tegalrejo-Bener"
"132","Bener","Kota Yogyakarta","Tegalrejo",1749,34,37,0,"2015-09-14","Kota Yogyakarta-Tegalrejo-Bener"
"133","Bener","Kota Yogyakarta","Tegalrejo",1750,34,19,0,"2015-05-11","Kota Yogyakarta-Tegalrejo-Bener"
"134","Bener","Kota Yogyakarta","Tegalrejo",1765,34,14,1,"2015-04-06","Kota Yogyakarta-Tegalrejo-Bener"
"135","Bener","Kota Yogyakarta","Tegalrejo",1766,34,46,0,"2015-11-16","Kota Yogyakarta-Tegalrejo-Bener"
"136","Bener","Kota Yogyakarta","Tegalrejo",1767,34,7,1,"2015-02-16","Kota Yogyakarta-Tegalrejo-Bener"
"137","Bener","Kota Yogyakarta","Tegalrejo",1768,34,18,0,"2015-05-04","Kota Yogyakarta-Tegalrejo-Bener"
"138","Bener","Kota Yogyakarta","Tegalrejo",1727,34,44,0,"2015-11-02","Kota Yogyakarta-Tegalrejo-Bener"
"139","Bener","Kota Yogyakarta","Tegalrejo",1728,34,30,0,"2015-07-27","Kota Yogyakarta-Tegalrejo-Bener"
"140","Bener","Kota Yogyakarta","Tegalrejo",1729,34,33,0,"2015-08-17","Kota Yogyakarta-Tegalrejo-Bener"
"141","Bener","Kota Yogyakarta","Tegalrejo",1717,34,4,0,"2015-01-26","Kota Yogyakarta-Tegalrejo-Bener"
"142","Bener","Kota Yogyakarta","Tegalrejo",1718,34,41,0,"2015-10-12","Kota Yogyakarta-Tegalrejo-Bener"
"143","Bener","Kota Yogyakarta","Tegalrejo",1719,34,39,0,"2015-09-28","Kota Yogyakarta-Tegalrejo-Bener"
"144","Bener","Kota Yogyakarta","Tegalrejo",1720,34,42,0,"2015-10-19","Kota Yogyakarta-Tegalrejo-Bener"
"145","Bener","Kota Yogyakarta","Tegalrejo",1763,34,47,0,"2015-11-23","Kota Yogyakarta-Tegalrejo-Bener"
"146","Bener","Kota Yogyakarta","Tegalrejo",1764,34,45,0,"2015-11-09","Kota Yogyakarta-Tegalrejo-Bener"
"147","Bener","Kota Yogyakarta","Tegalrejo",1722,34,5,0,"2015-02-02","Kota Yogyakarta-Tegalrejo-Bener"
"148","Bener","Kota Yogyakarta","Tegalrejo",1723,34,31,0,"2015-08-03","Kota Yogyakarta-Tegalrejo-Bener"
"149","Bener","Kota Yogyakarta","Tegalrejo",1724,34,32,1,"2015-08-10","Kota Yogyakarta-Tegalrejo-Bener"
"150","Bener","Kota Yogyakarta","Tegalrejo",1725,34,49,0,"2015-12-07","Kota Yogyakarta-Tegalrejo-Bener"
"151","Bener","Kota Yogyakarta","Tegalrejo",1726,34,52,0,"2015-12-28","Kota Yogyakarta-Tegalrejo-Bener"
"152","Bener","Kota Yogyakarta","Tegalrejo",1732,34,1,0,"2015-01-05","Kota Yogyakarta-Tegalrejo-Bener"
"153","Bener","Kota Yogyakarta","Tegalrejo",1733,34,22,0,"2015-06-01","Kota Yogyakarta-Tegalrejo-Bener"
"154","Bener","Kota Yogyakarta","Tegalrejo",1730,34,24,0,"2015-06-15","Kota Yogyakarta-Tegalrejo-Bener"
"155","Bener","Kota Yogyakarta","Tegalrejo",1731,34,28,0,"2015-07-13","Kota Yogyakarta-Tegalrejo-Bener"
"156","Bener","Kota Yogyakarta","Tegalrejo",1721,34,40,0,"2015-10-05","Kota Yogyakarta-Tegalrejo-Bener"
"157","Brontokusuman","Kota Yogyakarta","Mergangsan",1391,27,40,0,"2015-10-05","Kota Yogyakarta-Mergangsan-Brontokusuman"
"158","Brontokusuman","Kota Yogyakarta","Mergangsan",1392,27,8,2,"2015-02-23","Kota Yogyakarta-Mergangsan-Brontokusuman"
"159","Brontokusuman","Kota Yogyakarta","Mergangsan",1369,27,41,0,"2015-10-12","Kota Yogyakarta-Mergangsan-Brontokusuman"
"160","Brontokusuman","Kota Yogyakarta","Mergangsan",1386,27,33,0,"2015-08-17","Kota Yogyakarta-Mergangsan-Brontokusuman"
"161","Brontokusuman","Kota Yogyakarta","Mergangsan",1387,27,1,1,"2015-01-05","Kota Yogyakarta-Mergangsan-Brontokusuman"
"162","Brontokusuman","Kota Yogyakarta","Mergangsan",1388,27,48,0,"2015-11-30","Kota Yogyakarta-Mergangsan-Brontokusuman"
"163","Brontokusuman","Kota Yogyakarta","Mergangsan",1389,27,22,1,"2015-06-01","Kota Yogyakarta-Mergangsan-Brontokusuman"
"164","Brontokusuman","Kota Yogyakarta","Mergangsan",1390,27,36,0,"2015-09-07","Kota Yogyakarta-Mergangsan-Brontokusuman"
"165","Brontokusuman","Kota Yogyakarta","Mergangsan",1376,27,28,1,"2015-07-13","Kota Yogyakarta-Mergangsan-Brontokusuman"
"166","Brontokusuman","Kota Yogyakarta","Mergangsan",1377,27,10,1,"2015-03-09","Kota Yogyakarta-Mergangsan-Brontokusuman"
"167","Brontokusuman","Kota Yogyakarta","Mergangsan",1378,27,43,0,"2015-10-26","Kota Yogyakarta-Mergangsan-Brontokusuman"
"168","Brontokusuman","Kota Yogyakarta","Mergangsan",1379,27,17,0,"2015-04-27","Kota Yogyakarta-Mergangsan-Brontokusuman"
"169","Brontokusuman","Kota Yogyakarta","Mergangsan",1380,27,46,0,"2015-11-16","Kota Yogyakarta-Mergangsan-Brontokusuman"
"170","Brontokusuman","Kota Yogyakarta","Mergangsan",1381,27,11,0,"2015-03-16","Kota Yogyakarta-Mergangsan-Brontokusuman"
"171","Brontokusuman","Kota Yogyakarta","Mergangsan",1382,27,29,0,"2015-07-20","Kota Yogyakarta-Mergangsan-Brontokusuman"
"172","Brontokusuman","Kota Yogyakarta","Mergangsan",1370,27,47,0,"2015-11-23","Kota Yogyakarta-Mergangsan-Brontokusuman"
"173","Brontokusuman","Kota Yogyakarta","Mergangsan",1371,27,21,0,"2015-05-25","Kota Yogyakarta-Mergangsan-Brontokusuman"
"174","Brontokusuman","Kota Yogyakarta","Mergangsan",1372,27,38,0,"2015-09-21","Kota Yogyakarta-Mergangsan-Brontokusuman"
